id_municipio;ano;despesa_corrente_total;elemento_39
1400159;2023;303848534,07;17824458,82
1400209;2023;296089961,09000003;10319605,76
1400605;2023;172585899,15;11974528,74
1600055;2023;139337209,63;3456500,24
1200427;2023;336695810,70999986;7828377,04
2801306;2023;647179216,4;30926358,55
2803708;2023;135948684,04;5238334,72
2804102;2023;211013895,12;14112854,27
2806008;2023;267741622,28000003;11044449,78
1100015;2023;117587876,71000001;2408768,54
1100130;2023;563920071,8399999;44242642,13
1101302;2023;196071965,92;10786441,76
1101450;2023;129778997,84;6638206,2
3200508;2023;148074493,76999998;6324501,31
3202454;2023;390362328,19;28053367,02
3202900;2023;228306563,07;11605474,73
3203908;2023;896383248,8299999;74655258,51
3204104;2023;457188567,65;20355211,22
3204906;2023;1867096356,44;92342373,67
3205002;2023;7887502319,790001;365788574,94
3205176;2023;321617841,14;18919478,82
5002100;2023;584567558,43;26535320,37
5002605;2023;404363622,04999995;13145603,14
5003801;2023;367494690,90999997;11242774,13
5005202;2023;437756326,9;24393785,62
5007695;2023;968748171,01;31588092,67
1500305;2023;716986177,4699999;7851180,99
1501758;2023;170033254,91000003;5956509,21
1502764;2023;320602130,69;13018903,72
1502855;2023;227445018,94;6029589,76
1503002;2023;218854363,06;5898750,24
1504059;2023;478138691,71000004;14976583,94
1504604;2023;581834862,0600001;4467296,4
1507102;2023;310994836,4;7835580,74
1507706;2023;451047910,42;12547198,77
1508126;2023;676018262,89;35519509,46
5102678;2023;1181902719,11;70087947,39
5103205;2023;589531283,0799999;25055457,04
5103700;2023;302062135,16999996;17373070,61
5103809;2023;121472700,28999999;7352783,03
5105309;2023;99654726,79;8507133,39
5106190;2023;165776776,75;6739465,75
5106208;2023;127019690,04999998;5876195,98
5106265;2023;212290120,72;8021981,87
5107925;2023;2671978604,28;112760201,96
5108303;2023;149612594,13;7808584,44
5108501;2023;267918729,57;8959436,79
3301405;2023;541663181,2;26566355,74
3302007;2023;4125925002,7400007;214132832,19
3302270;2023;1356682992,48;81270266,1
3303401;2023;3077274027,710001;139314375,28
3304003;2023;1148673012,34;53109015,84
3304110;2023;805295408,3;87012059,01
3304524;2023;3709159959,3499994;133209094,99
3305000;2023;2848451455,3799996;260532873,94
3306008;2023;1923446931,3899999;133765488,24
1300805;2023;493477484,78999996;12102545,57
1302801;2023;346865380,35999995;8389215,9
1303007;2023;446690075,52;12805499,66
2700102;2023;395687981,7299999;16455825,72
2701407;2023;850014308,6400001;29652366,31
2702504;2023;288460585,78000003;15233817,86
2702702;2023;188461207,57;19010272,77
2703809;2023;367657889,84;0,0
2704708;2023;1563530216,77;88233351,62
